Requirement_ID,Jurisdiction,Scheme,Source_Authority,Source_Document,Source_URL,Module_Type,Module_Name,Standard_Name,Outcome_Code,Outcome_Text,Quality_Indicator_Code,Quality_Indicator_Text,Applies_To_All_Providers,Registration_Group_Numbers,Registration_Group_Names,Registration_Group_Source_URL,Audit_Type,High_Risk_Flag,Stage_1_Applies,Stage_2_Applies,Audit_Test_Methods,Sampling_Required,Sampling_Subject,System_Evidence_Required,Implementation_Evidence_Required,Workforce_Evidence_Required,Participant_Evidence_Required,Requires_Workforce_Evidence,Requires_Participant_Evidence,Minimum_Evidence_Score_2,Best_Practice_Evidence_Score_3,Common_Nonconformity_Patterns,Gap_Rule_1,Gap_Rule_2,Gap_Rule_3,NC_Severity_Default,Evidence_Owner_Role,Review_Frequency,System_of_Record,Audit_Export_Label,Version,Last_Reviewed_Date,Change_Trigger,Notes,Evidence_Status_System,Evidence_Status_Implementation,Evidence_Status_Workforce,Evidence_Status_Participant,Best_Practice_Evidence_Present,Computed_Score,Computed_Flag
CORE-RR-PCS-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Person – centred supports,CORE-RR-PCS-O1,"Each participant accesses supports that promote, uphold and respect their legal and human rights and is enabled to exercise informed choice and control. The provision of supports promotes, upholds and respects individual rights to freedom of expression, self-determination and decision-making.",CORE-RR-PCS-QI-01,Each participant’s legal and human rights are understood and incorporated into everyday practice.,Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Person – centred supports,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-PCS-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Person – centred supports,CORE-RR-PCS-O1,"Each participant accesses supports that promote, uphold and respect their legal and human rights and is enabled to exercise informed choice and control. The provision of supports promotes, upholds and respects individual rights to freedom of expression, self-determination and decision-making.",CORE-RR-PCS-QI-02,"Communication with each participant about the provision of supports is responsive to their needs and is provided in the language, mode of communication and terms that the participant is most likely to understand.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Person – centred supports,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-PCS-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Person – centred supports,CORE-RR-PCS-O1,"Each participant accesses supports that promote, uphold and respect their legal and human rights and is enabled to exercise informed choice and control. The provision of supports promotes, upholds and respects individual rights to freedom of expression, self-determination and decision-making.",CORE-RR-PCS-QI-03,Each participant is supported to engage with their support network and chosen community as directed by the participant.,Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Person – centred supports,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-IVB-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Individual values and beliefs,CORE-RR-IVB-O1,"Each participant accesses supports that respect their culture, diversity, values and beliefs.",CORE-RR-IVB-QI-01,"At the direction of the participant, the culture, diversity, values and beliefs of that participant are identified and sensitively responded to.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Individual values and beliefs,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-IVB-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Individual values and beliefs,CORE-RR-IVB-O1,"Each participant accesses supports that respect their culture, diversity, values and beliefs.",CORE-RR-IVB-QI-02,"Each participant’s right to practice their culture, values and beliefs while accessing supports is supported.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Individual values and beliefs,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-PD-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Privacy and Dignity,CORE-RR-PD-O1,Each participant accesses supports that respect and protect their dignity and right to privacy.,CORE-RR-PD-QI-01,Consistent processes and practices are in place that respect and protect the personal privacy and dignity of each participant.,Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,"Relevant policy/procedure/framework (current, approved)",Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Privacy and Dignity,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-PD-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Privacy and Dignity,CORE-RR-PD-O1,Each participant accesses supports that respect and protect their dignity and right to privacy.,CORE-RR-PD-QI-02,"Each participant is advised of confidentiality policies using the language, mode of communication and terms that the participant is most likely to understand.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Privacy and Dignity,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-PD-QI-03,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Privacy and Dignity,CORE-RR-PD-O1,Each participant accesses supports that respect and protect their dignity and right to privacy.,CORE-RR-PD-QI-03,"Each participant understands and agrees to what personal information will be collected and why, including recorded material in audio and/or visual format.",Y,,,,Certification,N,Y,Y,Document review; Records sampling; Participant interview (where applicable),Y,Files/records; Participants,Relevant documented process or guidance (current),Records/registers showing application in practice (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Privacy and Dignity,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-IIC-QI-01,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Independence and informed choice,CORE-RR-IIC-O1,"Each participant is supported by the provider to make informed choices, exercise control and maximise their independence relating to the supports provided.",CORE-RR-IIC-QI-01,"Active decision-making and individual choice is supported for each participant including the timely provision of information using the language, mode of communication and terms that the participant is most likely to understand.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Independence and informed choice,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
CORE-RR-IIC-QI-02,AU,NDIS,NDIS Quality and Safeguards Commission,NDIS Practice Standards and Quality Indicators,https://www.ndiscommission.gov.au/sites/default/files/2024-10/ndis-practice-standards-and-quality-indicators.pdf,Core,Core – Rights and Responsibilities,Independence and informed choice,CORE-RR-IIC-O1,"Each participant is supported by the provider to make informed choices, exercise control and maximise their independence relating to the supports provided.",CORE-RR-IIC-QI-02,"Each participant’s right to the dignity of risk in decision-making is supported. When needed, each participant is supported to make informed choices about the benefits and risks of the options under consideration.",Y,,,,Certification,N,Y,Y,Document review; Participant interview (where applicable),Y,Participants,Relevant documented process or guidance (current),Service delivery records demonstrating implementation (samples),Role clarity / accountability evidence (where relevant),Participant file evidence (plans/consents/communications) showing the requirement is met,N,Y,"All required evidence buckets present and current (system + implementation, participant).","Demonstrated continuous improvement (trend analysis, reviews, actions closed) beyond minimum compliance.",Policy exists but implementation evidence is weak or missing; training/awareness not evidenced; review/learning loop absent.,IF System evidence missing/outdated THEN flag,IF Implementation evidence missing/incomplete THEN flag,IF required review cycle missing THEN flag,Minor,Service Delivery Lead / Practice Manager,Annual,,Core – Rights and Responsibilities – Independence and informed choice,v1.0,2026-02-03,Regulatory update or audit finding,,Not assessed,Not assessed,Not assessed,Not assessed,N,,
